date,industry_name,holding_count
2017-03-31,酒、饮料和精制茶制造业,6
2017-03-31,零售业,1
2017-03-31,非金属矿物制品业,1
2017-03-31,食品制造业,1
2017-06-30,互联网和相关服务,1
2017-06-30,化学原料和化学制品制造业,1
2017-06-30,医药制造业,5
2017-06-30,房地产业,1
2017-06-30,有色金属冶炼和压延加工业,1
2017-06-30,有色金属矿采选业,1
2017-06-30,水上运输业,1
2017-06-30,汽车制造业,1
2017-06-30,煤炭开采和洗选业,1
2017-06-30,电气机械和器材制造业,4
2017-06-30,计算机、通信和其他电子设备制造业,2
2017-06-30,软件和信息技术服务业,1
2017-06-30,通用设备制造业,1
2017-06-30,酒、饮料和精制茶制造业,3
2017-06-30,非金属矿物制品业,2
2017-06-30,食品制造业,4
2017-09-29,专用设备制造业,1
2017-09-29,化学原料和化学制品制造业,2
2017-09-29,医药制造业,1
2017-09-29,商务服务业,1
2017-09-29,有色金属冶炼和压延加工业,3
2017-09-29,有色金属矿采选业,2
2017-09-29,汽车制造业,2
2017-09-29,煤炭开采和洗选业,1
2017-09-29,电力、热力生产和供应业,1
2017-09-29,电气机械和器材制造业,3
2017-09-29,计算机、通信和其他电子设备制造业,3
